Country,Region,Rank,HappinessScore,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Nicaragua,Latin America and Caribbean,40,6.071,6.476356506,8.575318336,0.83804369,66.25178528,0.922162771,0.010326705,0.672963321,0.849764168,0.308447897,0.590425193
Ecuador,Latin America and Caribbean,41,6.008,5.839518547,9.22326088,0.848941743,67.3420639,0.879128158,-0.169955462,0.733588755,0.829141974,0.314343482,0.640512884
El Salvador,Latin America and Caribbean,42,6.003,6.339318275,9.001176834,0.828952611,64.31137085,0.757827342,-0.180290967,0.777748585,0.848850608,0.268448353,0.270235062
Poland,Central and Eastern Europe,43,5.973,6.201268196,10.21113968,0.881854117,69.09680176,0.830842614,-0.133134008,,0.677435517,0.203387797,0.502480447
Uzbekistan,Commonwealth of Independent States,44,5.971,6.421447754,8.762778282,0.942131102,63.16617966,0.985177755,0.11402946,0.464641601,0.838989079,0.202737495,0.964690447
Italy,Western Europe,45,5.964,6.198870182,10.4724741,0.919791222,74.13479614,0.632843256,-0.043380704,0.866667926,0.661180735,0.322846144,0.230196297
Russia,Commonwealth of Independent States,46,5.963,5.578742981,10.10368347,0.896151304,62.97878265,0.73087424,-0.158567786,0.861590207,0.710230231,0.194560528,0.556597233
Japan,East Asia,47,5.92,5.910676479,10.56816864,0.881961286,75.31729126,0.849396586,-0.223296791,0.659198642,0.740387619,0.17551218,0.412489951
Lithuania,Central and Eastern Europe,48,5.902,6.272940636,10.28265762,0.926316619,67.04169464,0.749307334,-0.182276622,,0.607613146,0.19511883,0.32124728
Algeria,Middle East and North Africa,49,5.872,5.248912334,9.540244102,0.806753874,65.69918823,0.436670482,-0.194670126,0.699774206,0.641979635,0.288710028,
Latvia,Central and Eastern Europe,50,5.85,5.977817535,10.1330328,0.895098746,65.10926056,0.699520111,-0.163831443,0.79837811,0.623312771,0.231753111,0.264000505
Moldova,Commonwealth of Independent States,51,5.838,5.325530529,8.545788765,0.83076793,63.70124435,0.552825213,-0.003178872,0.926333785,0.581488788,0.259477794,0.132729635
South Korea,East Asia,52,5.838,5.873887062,10.48973465,0.806929946,74.04169464,0.538113713,0.003354594,0.850690424,0.623377562,0.234825626,0.358582199
Romania,Central and Eastern Europe,53,5.825,6.089904785,10.02889156,0.811240137,66.85708618,0.838586688,-0.164420739,0.925658047,0.733730376,0.230836198,0.298341334
Bolivia,Latin America and Caribbean,54,5.823,5.65055275,8.832608223,0.778661788,60.34379578,0.883904934,-0.115987852,0.819261968,0.698195398,0.43394354,0.427632958
Turkmenistan,Commonwealth of Independent States,55,5.822,5.229148865,9.702640533,0.908454895,60.39269257,0.720399201,0.04033754,,0.52088511,0.349627674,
Kazakhstan,Commonwealth of Independent States,56,5.819,5.882351398,10.0718708,0.914093196,64.19999695,0.745243967,-0.049178492,0.755250692,0.756762207,0.171486408,0.755705774
Slovenia,Central and Eastern Europe,57,5.758,6.166837692,10.35351658,0.928187847,70.94329071,0.920862675,-0.033475116,0.828794718,0.615109682,0.285601437,0.239779726
Peru,Latin America and Caribbean,58,5.715,5.710936546,9.413349152,0.830123365,65.40724182,0.826552153,-0.166747421,0.895384133,0.789390862,0.393873721,0.254595339
Mauritius,Sub-Saharan Africa,59,5.629,6.174117565,9.914654732,0.910142243,65.5891571,0.912307501,0.073929414,0.818179905,0.747760177,0.168721184,0.614670754
Cyprus,Western Europe,60,5.621,6.062051296,10.36136723,0.818671048,72.76279449,0.811670661,0.036286667,0.851206422,0.784188449,0.300516605,0.312653422
Estonia,Central and Eastern Europe,61,5.611,5.938395977,10.2858448,0.93568635,67.28438568,0.861749232,-0.109588325,0.668402255,0.805217981,0.160164103,0.405946255
Belarus,Commonwealth of Independent States,62,5.569,5.552915096,9.719829559,0.900255799,66.60596466,0.62097925,-0.130582094,0.654113412,0.540905774,0.232768074,0.447916299
Libya,Middle East and North Africa,63,5.525,5.646852493,,0.822758794,61.48470688,0.778695881,,0.673065543,0.69704932,0.379374176,
Turkey,Middle East and North Africa,64,5.5,5.607262135,10.11937332,0.876467824,65.79473114,0.644434214,-0.246927157,0.670910537,0.449800909,0.312846124,0.586161256
"Hong Kong S.A.R., China",East Asia,65,5.472,5.362474918,10.91716671,0.83106631,76.53636169,0.830657244,0.122934707,0.415810198,0.63953346,0.200593412,0.545040727
Philippines,Southeast Asia,66,5.43,5.594270229,8.938967705,0.851028562,60.25149155,0.925703108,-0.147851661,0.711165547,0.768981457,0.340621501,0.83773005
Serbia,Central and Eastern Europe,67,5.395,5.122031212,9.561537743,0.883770406,65.68487549,0.684846342,-0.081415586,0.851457834,0.50972122,0.326407075,0.511197984
Jordan,Middle East and North Africa,68,5.336,4.808082581,9.025333405,0.814664543,64.4178772,0.766262472,-0.151522875,,0.627798379,0.391505182,
Hungary,Central and Eastern Europe,69,5.324,6.065038681,10.19323826,0.876747549,67.193367,0.661165953,-0.150793031,0.886361301,0.735184252,0.180921271,0.377770513
Jamaica,Latin America and Caribbean,70,5.311,5.889759064,9.025864601,0.91302985,65.81879425,0.860676348,-0.130832732,0.882796168,0.769282162,0.243399635,0.348201752
Croatia,Central and Eastern Europe,71,5.293,5.343165874,10.01418877,0.770309687,67.01551056,0.71582228,-0.109417252,0.89155972,0.655305028,0.316488236,0.211000666
Kosovo,Central and Eastern Europe,72,5.279,6.149199963,,0.792087257,62.39247894,0.857676745,,0.92519182,0.738435566,0.185879096,0.298196137
China,East Asia,73,5.273,5.099061489,9.635466576,0.772033215,69.30279541,0.877617598,-0.194634736,,0.821097255,0.214004755,
Pakistan,South Asia,74,5.269,5.830870628,8.519006729,0.690263569,57.46299744,0.712657094,0.030328112,0.713928223,0.586166978,0.308341086,0.557435155
Indonesia,Southeast Asia,75,5.262,5.098401546,9.322167397,0.795589209,60.58441544,0.865026295,0.472973853,0.900416434,0.862584174,0.319171578,0.825765371
Montenegro,Central and Eastern Europe,76,5.237,5.614798546,9.694497108,0.881199837,67.14218903,0.625906289,-0.084890783,0.755680025,0.519128144,0.34978509,0.351549894
Morocco,Middle East and North Africa,77,5.235,5.312482834,8.915043831,0.641193092,65.33885956,0.814258039,-0.227919385,0.840502441,0.559288204,0.322715908,
Azerbaijan,Commonwealth of Independent States,78,5.234,5.152279377,9.65392971,0.787039399,63.07531357,0.731030464,-0.247480661,0.652539015,0.592359245,0.19831866,0.766583443
Dominican Republic,Latin America and Caribbean,79,5.23,5.605202675,9.594573975,0.894368112,63.49599457,0.855359018,-0.127092183,0.760489643,0.738943636,0.274745524,0.459901333
Greece,Western Europe,80,5.227,5.14824152,10.11751747,0.752899528,71.7803421,0.438300014,-0.296734989,0.872239471,0.60293901,0.332830757,0.139880896
Lebanon,Middle East and North Africa,81,5.225,5.153989792,9.491579056,0.776583016,68.8638916,0.604554176,-0.075028144,0.910727263,0.515443921,0.243549213,0.217718095
Portugal,Western Europe,82,5.195,5.711499214,10.23670864,0.899984837,72.15874481,0.905065656,-0.182598397,0.880970538,0.649151087,0.294272572,0.501088142
Bosnia and Herzegovina,Central and Eastern Europe,83,5.182,5.089902401,9.371712685,0.775295258,67.99448395,0.563798666,0.089589462,0.923343062,0.597341657,0.270745516,0.126379713
Honduras,Latin America and Caribbean,84,5.181,6.019985676,8.404379845,0.84335494,63.75267029,0.898377419,0.080074072,0.783429444,0.842200935,0.248383343,0.495585024
Macedonia,Central and Eastern Europe,85,5.175,5.233866692,9.50363636,0.79995513,65.8757782,0.752106607,-0.062728427,0.855697274,0.502459884,0.299390584,0.442916453
Nigeria,Sub-Saharan Africa,86,5.074,5.321928024,8.58562088,0.733468533,45.8731575,0.825905561,0.113301486,0.834891975,0.724990547,0.235968769,0.558790743
Vietnam,Southeast Asia,87,5.074,5.175278664,8.7426548,,66.24576569,,,,,,
Tajikistan,Commonwealth of Independent States,88,5.041,5.829234123,7.956589699,0.662693322,62.97124863,0.832002461,0.124936186,0.71833688,0.602667689,0.277725339,0.92979306
Kyrgyzstan,Commonwealth of Independent States,89,5.004,5.629536629,8.11204052,0.882586658,62.89964676,0.859389782,0.166667372,0.874494493,0.755125225,0.160438314,0.561672747
Nepal,South Asia,90,4.962,4.736692429,7.801309109,0.816383302,61.26595688,0.84514761,0.146511138,0.770177126,0.570577025,0.375977933,0.559578538
Mongolia,East Asia,91,4.955,5.333850384,9.318548203,0.924250782,62.31261063,0.674627423,0.106451348,0.864952207,0.675165296,0.213599518,0.275058359
South Africa,Sub-Saharan Africa,92,4.829,4.513655186,9.405202866,0.870313287,55.22930908,0.787427902,-0.139256224,0.864781916,0.784800708,0.268175244,0.423274219
Tunisia,Middle East and North Africa,93,4.805,4.124342918,9.294288635,0.717381597,65.88056183,0.477956653,-0.233531162,0.868826747,0.420961887,0.377196848,0.250827313
Palestinian Territories,Middle East and North Africa,94,4.775,4.62813282,,0.824345112,63.07249832,0.631611288,,0.830646336,0.596765578,0.416072041,0.414400935
Egypt,Middle East and North Africa,95,4.735,3.929344177,9.260223389,0.63822639,61.5737915,0.592504799,-0.161944747,,0.539322555,0.414493799,
Bulgaria,Central and Eastern Europe,96,4.714,5.096901894,9.822961807,0.94175458,66.4154892,0.689047039,-0.160038665,0.910799742,0.614216745,0.188637346,0.326087952
Sierra Leone,Sub-Saharan Africa,97,4.709,4.089562416,7.253018379,0.652287126,44.38652802,0.710613549,0.08922568,0.848398328,0.600368202,0.495040029,0.73751694
Cameroon,Sub-Saharan Africa,98,4.695,5.07405138,8.128399849,0.69459641,50.14022446,0.766945005,-0.031055631,0.84358561,0.632338762,0.377498746,0.578775525
Iran,Middle East and North Africa,99,4.692,4.716783047,9.853448868,0.714232922,65.96455383,0.730635166,0.182735115,0.714941323,0.693666041,0.438533902,
Albania,Central and Eastern Europe,100,4.644,4.639548302,9.373718262,0.637698293,69.05165863,0.74961102,-0.035140377,0.876134634,0.669240892,0.33388412,0.457737535
Bangladesh,South Asia,101,4.608,4.309771061,8.163092613,0.712552786,62.50415421,0.896217167,0.017536195,0.635014474,0.568827093,0.21350576,0.876646459
Namibia,Sub-Saharan Africa,102,4.574,4.441306114,9.203362465,0.82833904,55.49542618,0.810401857,-0.20176585,0.831302881,0.72067821,0.277252168,0.745853603
Kenya,Sub-Saharan Africa,103,4.553,4.475654125,8.01025486,0.714604318,58.68983841,0.853394389,0.250179261,0.85400039,0.788452208,0.230210304,0.637862563
Mozambique,Sub-Saharan Africa,104,4.55,4.279863358,7.046577454,0.678463697,49.9577446,0.822670519,-0.021502597,0.682108939,0.648381412,0.353176504,0.759234369
Myanmar,Southeast Asia,105,4.545,4.154341698,8.634504318,0.795183837,57.64122009,0.886011839,0.62870574,0.618821502,0.74564749,0.282285541,0.82417655
Senegal,Sub-Saharan Africa,106,4.535,4.683024883,7.811985493,0.743759334,57.98087692,0.686937034,-0.029066099,0.825241864,0.745732069,0.290836066,0.61072278
Zambia,Sub-Saharan Africa,107,4.514,3.932777405,8.211669922,0.74375391,53.80378342,0.823168576,0.129821524,0.739540637,0.684623301,0.387188882,0.717004061
Iraq,Middle East and North Africa,108,4.497,4.462399006,9.622719765,0.695109367,61.04584503,0.627722025,-0.038429033,0.757108808,0.505288541,0.59053874,0.424050778
Gabon,Sub-Saharan Africa,109,4.465,4.782382965,9.715631485,0.806941152,57.1261673,0.652359545,-0.2508322,0.868305504,0.634047151,0.446124286,0.286989242
Ethiopia,Sub-Saharan Africa,110,4.46,4.180315495,7.43928194,0.73353976,56.72826767,0.717101216,0.011871224,0.75689894,0.608514786,0.304436177,0.768354297
Sri Lanka,South Asia,111,4.44,4.330945492,9.377954483,0.822770596,65.29253387,0.827077389,0.084577233,0.844210029,0.794951618,0.269727528,0.517589927
Armenia,Commonwealth of Independent States,112,4.376,4.287736416,9.034710884,0.697924912,65.12568665,0.613697052,-0.132166177,0.86468333,0.625013828,0.43714875,0.246900991
India,South Asia,113,4.315,4.046111107,8.768456459,0.606767476,59.50262833,0.88585043,-0.0545028,0.780802786,0.682090998,0.317936778,0.8392784
Mauritania,Sub-Saharan Africa,114,4.292,4.678159714,8.187707901,0.77922523,53.33533859,0.527446806,-0.134765625,0.777314067,0.637107074,0.27232194,0.292109728
Congo (Brazzaville),Sub-Saharan Africa,115,4.291,4.883991241,8.559967995,0.655440509,55.28945923,0.777783454,-0.168748975,0.76278311,0.598951638,0.381640554,0.469826549
Georgia,Commonwealth of Independent States,116,4.286,4.45077467,9.1690979,0.590495169,64.34745026,0.820908785,-0.231422603,0.589631975,0.581127703,0.209639609,0.296396226
Congo (Kinshasa),Sub-Saharan Africa,117,4.28,4.311033249,6.625340939,0.669688404,50.78821945,0.704239547,0.095792539,0.809181869,0.550525904,0.404262066,0.4784123
Mali,Sub-Saharan Africa,118,4.19,4.741850376,7.608559132,0.741359413,49.17869949,0.753213346,-0.064547285,0.862655163,0.741835773,0.392784149,0.504820108
Ivory Coast,Sub-Saharan Africa,119,4.18,5.037734985,8.180943489,0.661375344,46.98994064,0.732097924,-0.095353842,0.770940244,0.697735488,0.35745579,0.516654313
Cambodia,Southeast Asia,120,4.168,4.585842133,8.202580452,0.765094936,58.63087463,0.963774681,0.086719364,0.821022928,0.798616648,0.40828383,0.752442479
Ghana,Sub-Saharan Africa,121,4.12,5.481310844,8.326971054,0.669111073,54.8658905,0.783046365,0.084990479,0.838609994,0.702511728,0.247518942,0.670288563
Ukraine,Commonwealth of Independent States,122,4.096,4.311067104,8.967859268,0.858324885,63.17335129,0.598875523,0.016125007,0.936764002,0.597112179,0.234763831,0.11093653
Uganda,Sub-Saharan Africa,123,4.081,4.000516891,7.442951202,0.739956141,51.76347733,0.772344112,0.071719982,0.81577003,0.703375638,0.400025725,0.655109108
Burkina Faso,Sub-Saharan Africa,124,4.032,4.646891117,7.434531212,0.784761369,52.3994751,0.613774717,-0.051286779,0.727451325,0.585172474,0.353821069,0.540656149
Niger,Sub-Saharan Africa,125,4.028,4.615673542,6.831231594,0.582109571,51.32594299,0.68355757,-0.012236271,0.777660012,0.731161416,0.426522374,0.601117253
Malawi,Sub-Saharan Africa,126,3.97,3.416862965,7.00270319,0.555422723,54.23464203,0.847920775,0.021560058,0.734636605,0.608666539,0.312088341,0.620332539
Chad,Sub-Saharan Africa,127,3.936,4.558937073,7.490785122,0.660615563,45.98406219,0.614849687,-0.002929057,0.792389929,0.627503157,0.53824544,0.473544389
Zimbabwe,Sub-Saharan Africa,128,3.875,3.63830018,7.538187027,0.754147053,52.67448425,0.752826095,-0.066004686,0.751208007,0.806428373,0.224051341,0.682646692
Afghanistan,South Asia,129,3.794,2.66171813,7.460143566,0.490880072,52.33952713,0.427010864,-0.106340349,0.954392552,0.49634856,0.371326178,0.261178523
Botswana,Sub-Saharan Africa,130,3.766,3.504881144,9.6836586,0.768258631,58.01321411,0.817308009,-0.258249283,0.731441498,0.656396449,0.276252508,0.770821095
Benin,Sub-Saharan Africa,131,3.657,4.853180885,7.632502556,0.435878992,51.79475021,0.72680825,-0.040269434,0.767234623,0.614722312,0.457920343,0.615089297
Madagascar,Sub-Saharan Africa,132,3.644,4.078620434,7.249253273,0.626331985,56.99448395,0.570347905,-0.025507912,0.847260773,0.751698077,0.374838024,0.541916132
Haiti,Latin America and Caribbean,133,3.603,3.823865652,7.403176308,0.646984994,53.34700775,0.484429151,0.384510309,0.647191584,0.573366702,0.321692765,0.435076952
Yemen,Middle East and North Africa,134,3.593,3.253560066,,0.789555013,54.98103333,0.595190764,,,0.455181897,0.295063585,0.247786984
South Sudan,Sub-Saharan Africa,135,3.591,2.816622496,,0.556822658,50.02017212,0.456011087,,0.761269629,0.585602164,0.517363787,0.461550504
Liberia,Sub-Saharan Africa,136,3.533,4.424490929,6.629414082,0.684866846,52.78684998,0.733389914,0.04057676,0.866806388,0.667946458,0.39133054,0.554991543
Guinea,Sub-Saharan Africa,137,3.507,4.873722553,7.527477264,0.634025574,51.15181732,0.738212824,0.054307584,0.750026226,0.704477131,0.422460884,0.639980793
Togo,Sub-Saharan Africa,138,3.495,4.360805035,7.251669884,0.507805228,52.25727463,0.716694415,-0.037704486,0.725519598,0.614188969,0.425824255,0.48495236
Tanzania,Sub-Saharan Africa,139,3.349,3.347121239,7.896313667,0.705010295,56.66548538,0.800495505,0.106598906,0.653606057,0.714645505,0.255335689,0.913339019
Central African Republic,Sub-Saharan Africa,140,2.693,3.475862026,,0.319589138,44.64535141,0.645252347,,0.889566004,0.613865197,0.599335492,0.650284886
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,5.398907143,,,,,,,,,,
,,,,,,,,,,,,,
,,,1.109749884,,,,,,,,,,
